Date,Average Air Temperature(deg C),Average Relative Humidity(%)
01-Jan-2015,23.5,61.1
02-Jan-2015,23.3,62.8
03-Jan-2015,23.0,71.0
04-Jan-2015,22.2,74.2
05-Jan-2015,22.8,64.2
06-Jan-2015,23.6,56.6
07-Jan-2015,22.5,61.1
08-Jan-2015,23.7,61.8
09-Jan-2015,24.1,52.5
10-Jan-2015,23.5,49.3
11-Jan-2015,24.2,51.7
12-Jan-2015,25.5,49.6
13-Jan-2015,25.0,51.0
14-Jan-2015,25.9,44.4
15-Jan-2015,23.9,48.0
16-Jan-2015,24.0,50.8
17-Jan-2015,24.0,51.5
18-Jan-2015,24.1,60.0
19-Jan-2015,25.3,43.8
20-Jan-2015,25.2,51.7
21-Jan-2015,23.9,59.8
22-Jan-2015,20.9,73.2
23-Jan-2015,20.4,77.3
24-Jan-2015,20.3,82.5
25-Jan-2015,20.2,78.5
26-Jan-2015,21.1,76.0
27-Jan-2015,20.5,85.5
28-Jan-2015,20.7,83.3
29-Jan-2015,21.2,80.6
30-Jan-2015,23.7,66.4
31-Jan-2015,24.9,57.2
01-Feb-2015,24.5,50.5
02-Feb-2015,24.1,47.6
03-Feb-2015,23.1,59.2
04-Feb-2015,21.7,70.9
05-Feb-2015,21.0,81.6
06-Feb-2015,19.3,96.8
07-Feb-2015,18.7,97.9
08-Feb-2015,19.0,94.8
09-Feb-2015,20.5,81.2
10-Feb-2015,21.7,79.0
11-Feb-2015,22.7,73.8
12-Feb-2015,24.1,60.5
13-Feb-2015,24.1,48.5
14-Feb-2015,24.0,48.0
15-Feb-2015,23.0,58.5
16-Feb-2015,22.2,72.2
17-Feb-2015,21.4,73.9
18-Feb-2015,19.7,86.5
19-Feb-2015,20.4,84.0
20-Feb-2015,21.0,80.6
21-Feb-2015,22.3,72.0
22-Feb-2015,22.7,63.9
23-Feb-2015,22.3,64.0
24-Feb-2015,21.3,70.3
25-Feb-2015,22.5,68.9
26-Feb-2015,22.1,75.6
27-Feb-2015,21.3,82.2
28-Feb-2015,20.9,85.3
01-Mar-2015,21.0,83.9
02-Mar-2015,20.9,85.0
03-Mar-2015,21.7,79.8
04-Mar-2015,22.6,73.0
05-Mar-2015,20.2,87.7
06-Mar-2015,20.8,82.2
07-Mar-2015,20.3,83.1
08-Mar-2015,20.6,87.1
09-Mar-2015,20.6,87.0
10-Mar-2015,20.7,91.9
11-Mar-2015,20.8,87.1
12-Mar-2015,19.9,88.1
13-Mar-2015,20.7,88.1
14-Mar-2015,21.2,86.8
15-Mar-2015,21.4,85.2
16-Mar-2015,21.1,79.1
17-Mar-2015,19.4,83.9
18-Mar-2015,19.8,86.6
19-Mar-2015,18.2,98.2
20-Mar-2015,18.4,94.4
21-Mar-2015,19.2,89.2
22-Mar-2015,19.0,90.6
23-Mar-2015,21.3,82.5
24-Mar-2015,20.5,91.2
25-Mar-2015,21.2,86.0
26-Mar-2015,21.1,87.3
27-Mar-2015,20.3,94.0
28-Mar-2015,22.3,80.1
29-Mar-2015,23.4,73.1
30-Mar-2015,22.8,73.0
31-Mar-2015,22.1,79.0
01-Apr-2015,23.1,71.3
02-Apr-2015,22.0,79.0
03-Apr-2015,21.3,84.3
04-Apr-2015,21.6,81.3
05-Apr-2015,21.1,87.7
06-Apr-2015,22.2,78.8
07-Apr-2015,22.1,81.3
08-Apr-2015,20.9,90.3
09-Apr-2015,20.4,89.8
10-Apr-2015,21.9,80.8
11-Apr-2015,22.4,73.5
12-Apr-2015,22.0,74.8
13-Apr-2015,22.1,74.7
14-Apr-2015,21.8,78.5
15-Apr-2015,21.3,84.4
16-Apr-2015,20.6,88.5
17-Apr-2015,21.0,82.4
18-Apr-2015,21.5,86.4
19-Apr-2015,21.8,82.7
20-Apr-2015,22.9,80.2
21-Apr-2015,22.0,82.3
22-Apr-2015,22.8,80.5
23-Apr-2015,21.4,84.5
24-Apr-2015,21.4,84.7
25-Apr-2015,21.4,85.6
26-Apr-2015,21.0,91.0
27-Apr-2015,20.7,82.7
28-Apr-2015,20.8,83.4
29-Apr-2015,20.4,82.8
30-Apr-2015,20.0,87.1
01-May-2015,19.0,86.3
02-May-2015,20.0,79.0
03-May-2015,20.6,76.8
04-May-2015,20.3,82.7
05-May-2015,20.4,89.6
06-May-2015,20.6,89.8
07-May-2015,20.6,84.5
08-May-2015,21.2,80.2
09-May-2015,19.9,85.4
10-May-2015,21.1,75.7
11-May-2015,17.5,93.5
12-May-2015,18.3,84.5
13-May-2015,19.3,81.8
14-May-2015,18.9,88.6
15-May-2015,19.1,85.4
16-May-2015,18.7,78.5
17-May-2015,19.2,76.9
18-May-2015,19.6,74.0
19-May-2015,19.7,74.9
20-May-2015,19.8,71.7
21-May-2015,19.1,82.5
22-May-2015,19.1,75.5
23-May-2015,19.2,73.1
24-May-2015,19.6,71.0
25-May-2015,20.0,66.8
26-May-2015,19.8,66.8
27-May-2015,20.7,60.5
28-May-2015,20.1,66.7
29-May-2015,19.7,77.5
30-May-2015,20.3,78.3
31-May-2015,21.0,71.8
01-Jun-2015,20.9,70.3
02-Jun-2015,21.3,64.0
03-Jun-2015,19.8,70.6
04-Jun-2015,19.0,74.1
05-Jun-2015,19.1,69.8
06-Jun-2015,19.6,69.5
07-Jun-2015,19.8,70.3
08-Jun-2015,19.8,68.8
09-Jun-2015,19.8,62.3
10-Jun-2015,20.1,60.7
11-Jun-2015,19.5,65.0
12-Jun-2015,19.9,66.7
13-Jun-2015,20.6,61.6
14-Jun-2015,20.0,55.0
15-Jun-2015,20.7,55.0
16-Jun-2015,20.6,64.6
17-Jun-2015,20.9,65.8
18-Jun-2015,21.0,65.3
19-Jun-2015,19.7,67.1
20-Jun-2015,18.9,65.3
21-Jun-2015,16.5,75.0
22-Jun-2015,17.4,72.1
23-Jun-2015,17.2,71.8
24-Jun-2015,18.9,58.3
25-Jun-2015,18.8,65.5
26-Jun-2015,17.2,73.5
27-Jun-2015,16.5,67.9
28-Jun-2015,16.4,64.1
29-Jun-2015,17.3,65.4
30-Jun-2015,18.1,64.3
01-Jul-2015,19.0,55.9
02-Jul-2015,19.6,59.5
03-Jul-2015,20.0,57.7
04-Jul-2015,20.8,57.0
05-Jul-2015,21.1,54.8
06-Jul-2015,21.4,54.5
07-Jul-2015,19.1,68.0
08-Jul-2015,17.0,81.4
09-Jul-2015,17.1,76.7
10-Jul-2015,19.4,71.1
11-Jul-2015,21.2,58.3
12-Jul-2015,21.4,56.0
13-Jul-2015,20.6,58.6
14-Jul-2015,20.8,59.4
15-Jul-2015,21.0,58.1
16-Jul-2015,19.8,54.9
17-Jul-2015,18.9,56.8
18-Jul-2015,18.5,59.5
19-Jul-2015,19.3,51.5
20-Jul-2015,19.2,61.7
21-Jul-2015,19.6,56.0
22-Jul-2015,20.0,49.1
23-Jul-2015,20.2,45.3
24-Jul-2015,18.7,56.9
25-Jul-2015,19.8,55.3
26-Jul-2015,21.0,51.6
27-Jul-2015,21.2,49.7
28-Jul-2015,22.7,44.0
29-Jul-2015,21.3,44.0
30-Jul-2015,20.2,46.0
31-Jul-2015,20.6,44.3
01-Aug-2015,20.0,48.2
02-Aug-2015,20.4,44.1
03-Aug-2015,20.4,43.0
04-Aug-2015,20.5,37.7
